audio_id,model_name,reference_summary,model_summary,score_overall,score_fluency,score_faithfulness,score_coverage,score_usefulness,rationale
12mc,Qwen_summary,"Harriet Tubman worked to free her people as a young slave. She ran away to the North but returned to the South to help other slaves escape. She became a leader of the Underground Railroad, a secret network providing food and shelter to runaway slaves. She led groups of slaves on the perilous journey north, traveling at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.",The child said that Harriet Tubman lived most of her life working to free her people and returned to the south to help other slaves escape.,3,4,3,2,2,
13f,Qwen_summary,"The plumber parked his van in front of the apartment house and took his tools out of the back. He walked into the lobby and took the elevator to the twelfth floor, where he felt uncomfortable suspecting his neighbors of dishonesty. Recent events had led him to this suspicion, including the disappearance of a necklace and a collection of coins. The plumber, Paul, was trying to understand what was going on in the apartment house. He had noticed some suspicious behavior from his neighbors, including Ms. Franklin and Mr. Carson.",The child said that a person named Paul felt very uncomfortable suspicioning his neighbors in the apartment house.,2,3,1,1,2,
13m,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She was a leader of the Underground Railroad, a secret network of households that provided food and shelter to runaway slaves. Harriet led groups of slaves from one point to another on the perilous journey north, hiding during the day and traveling at night. She was a master of tricks and disguises, and a significant reward was offered for her capture. Her daring rescues helped hundreds of slaves escape to freedom.","The child said they would not go to bed until they finish their work, indicating responsibility and determination towards completing tasks.",0,3,0,0,0,
14f,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the north as a young slave and frequently returned to the south to help other slaves escape. She became a famous leader of the underground railroad, a secret network of households providing food and shelter to runaway slaves. Harriet led groups of slaves from one point to another on a perilous journey north, hiding during the day and traveling at night. Her daring rescues helped hundreds of slaves escape to freedom.","Harriet Tubman lived most of her life working to free her people. As a young slave, she escaped to the north but frequently returned to the south to help other slaves escape via the Underground Railroad, which was a secret network of households. She became a famous leader in this network.",4,5,4,4,2,
14m,Qwen_summary,"Alice lives in a lonely castle far from the city. A storm is making it harder for her to cope with her isolation. She tries to distract herself by adding more firewood to the fire. Despite her efforts, she knows the ghost will appear in the chapel tonight. Alice has seen the ghost every night since moving into the castle.","The child said they were going to bed early because it was a school night, and they didn't want to get up late.",0,2,0,0,0,
16fa,Qwen_summary,"The speaker is in Friuli, a remote corner of Northeastern Italy, where they initially went for the food and wine. Friuli is famous for its white wines and the speaker was unaware of the region's rich history. The region's geography is diverse, ranging from rugged coastline to placid plains and the Alps. Friuli has been conquered by many and has a unique cultural blend of central European and Italian influences. The architecture and people of Friuli reflect this blend, with a mix of grandeur and simplicity.",The child said they were at the Pine Ridge in northeastern Italy and enjoyed a meal at a little restaurant.,2,3,1,1,1,
16fb,Qwen_summary,"The speaker is in Friuli, a remote corner of the Alpine foothills in Northeastern Italy. They were initially drawn to the region for its food and wine, particularly its white wines. Friuli is a unique region with a mix of rugged coastline, plains, and mountains. The region has been influenced by various cultures due to its strategic location at the crossroads of Western Europe and the East. As a result, Friuli has a distinct cultural and architectural identity, with a mix of Austrian and Central European influences.",The child said they were in a remote corner of the alpine foothills in northeastern Italy at a little restaurant.,2,3,1,1,1,
16fc,Qwen_summary,"Harriet Tubman lived most of her life working to free her people. She ran away to the North as a young slave and frequently returned to the South to help other slaves escape. She became a famous leader of the underground railroad, a secret network of households that provided food and shelter to runaway slaves. Harriet led groups of slaves from one point to another on the perilous journey north, traveling only at night and hiding during the day. Her daring rescues helped hundreds of slaves escape to freedom.",The child stated that Harriet Tubman lived most of her life working to free slaves and frequently returned to the South to help other slaves escape.,4,4,3,3,2,
16m,Qwen_summary,"The speaker is in Friuli, a remote corner of northeastern Italy, where they are primarily searching for wine. Friuli is famous for its white wines and is a lesser-known destination for tourists. The region's scenery ranges from rugged coastline to placid plains and the Alps. Friuli has a unique cultural influence due to its location at a major crossroads between Western Europe and the East. The region's architecture and people reflect this influence, with a mix of Austrian and Central European styles.",The child said they were at a remote corner of the Alpine foothills in northeastern Italy at a little restaurant.,3,3,2,2,1,
17f,Qwen_summary,Friuli is a remote corner of the Alpine foothills in Northeastern Italy. It is famous for its white wines and is a culinary destination. Friuli's scenery ranges from rugged coastline to placid plains and the Alps. The region has a unique cultural influence due to its history of being conquered by various European powers. The architecture and people of Friuli show a distinct Central European influence.,The child explained that they are currently in a remote corner of the Alpine foothills in northeastern Italy at a little restaurant called 'Fruili'. The location is renowned for being a source of some of Italy's best white wines.,4,4,4,4,2,
17fb,Qwen_summary,"A plumber, Paul, is suspicious of his neighbor in an apartment house. He suspects his neighbor of being dishonest due to some peculiar things that have happened recently. Ms. Franklin had a pearl necklace that disappeared from her trunk. Brad Carson had an expensive coin collection that went missing from an artificial book on his bookshelf. Paul is uncomfortable suspecting his neighbor but can't shake off the feeling that something is off.","The child said, 'That's what I mean, dad.'",0,2,0,0,0,
506,Qwen_summary,"Sweeney's department store was having its twentieth anniversary celebration on May 3rd. The store was planning an enormous sales promotion with discounts in various departments. The workmen were busy preparing the store by creating signs, displays, and shelving for the sale products. A newspaper campaign was planned to feature the sale products. The store owners hoped to attract customers and offer them bargains on the seven floors.",The child said they were going to have a big celebration on May 3rd and was planning an enormous sale.,3,4,2,2,2,
